=== Station detector report ===
sampling_frequency (Hz),num_detectors,time (ms),records_total,samples_total,samples_template_waveform,length_template_waveform (s)
50.0,1,444.485,4742,270206,101,2.02
50.0,1,486.347,4742,270206,151,3.02
50.0,1,574.666,4742,270206,201,4.02
50.0,1,662.907,4742,270206,251,5.02
50.0,1,758.817,4742,270206,301,6.02
50.0,1,1064.73,4742,270206,351,7.02
50.0,1,1163.3,4742,270206,401,8.02
50.0,1,1275.84,4742,270206,451,9.02
50.0,1,1393.64,4742,270206,501,10.02
50.0,1,1896.78,4742,270206,751,15.02
50.0,1,2411.69,4742,270206,1001,20.02
50.0,2,1157.05,9486,540538,101,2.02
50.0,2,1298.4,9486,540538,151,3.02
50.0,2,1507.48,9486,540538,201,4.02
50.0,2,1712.04,9486,540538,251,5.02
50.0,2,1926.33,9486,540538,301,6.02
50.0,2,2146.52,9486,540538,351,7.02
50.0,2,2341.43,9486,540538,401,8.02
50.0,2,2576.59,9486,540538,451,9.02
50.0,2,2796.03,9486,540538,501,10.02
50.0,2,3821.05,9486,540538,751,15.02
50.0,2,4828.23,9486,540538,1001,20.02
50.0,4,2316.05,19315,1081315,101,2.02
50.0,4,2647.45,19315,1081315,151,3.02
50.0,4,3040.03,19315,1081315,201,4.02
50.0,4,3454.51,19315,1081315,251,5.02
50.0,4,3878.64,19315,1081315,301,6.02
50.0,4,4304.04,19315,1081315,351,7.02
50.0,4,4720.2,19315,1081315,401,8.02
50.0,4,5148.96,19315,1081315,451,9.02
50.0,4,5622.87,19315,1081315,501,10.02
50.0,4,7699.85,19315,1081315,751,15.02
50.0,4,9765.76,19315,1081315,1001,20.02
50.0,8,4608.55,38630,2162629,101,2.02
50.0,8,5346.87,38630,2162629,151,3.02
50.0,8,6188.8,38630,2162629,201,4.02
50.0,8,7017.4,38630,2162629,251,5.02
50.0,8,7745.09,38630,2162629,301,6.02
50.0,8,8528.6,38630,2162629,351,7.02
50.0,8,9361.58,38630,2162629,401,8.02
50.0,8,10400.2,38630,2162629,451,9.02
50.0,8,11316.4,38630,2162629,501,10.02
